number,review_title,reviewed_at,reviewed_by,images,crawled_at,url,hotel_name,hotel_url,nationality,rating,review_text,raw_review_text,tags,meta
309,Exceptional,05-Aug-18,Anonymous,,23-00-2022,https://www.booking.com/reviews/be/hotel/pegasus-apparthotel-brussels-city.en-gb.html?label=gen173nr-1DCA0oFUIhcGVnYXN1cy1hcHBhcnRob3RlbC1icnVzc2Vscy1jaXR5SDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJDhlOWUxZjk1LWQ5YWItNDE1OC05Yjg4LTZhNDk3MGI4YzgwOdgCBOACAQ;sid=112feb5c809e55c93c7a10cb30d87aae;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Pegasus Studioflats Brussels City Aparthotel,https://www.booking.com/hotel/be/pegasus-apparthotel-brussels-city.en-gb.html?label=gen173nr-1DCA0oFUIhcGVnYXN1cy1hcHBhcnRob3RlbC1icnVzc2Vscy1jaXR5SDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJDhlOWUxZjk1LWQ5YWItNDE1OC05Yjg4LTZhNDk3MGI4YzgwOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,United States,10.0,"Everything was great,

All good","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">Everything was great</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">All good</span></p>",Business trip~Solo traveller~Standard Studio~Stayed 26 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
310,Very good,20-Nov-19,Marie,https://cf.bstatic.com/xdata/images/xphoto/square60_ao/82244522.jpg?k=f3f046b9dd330bf8b71b864c14956d871aecf939eb4f500a894a32a77d26c93e&o=,28-00-2024,https://www.booking.com/reviews/be/hotel/au-prince-royal-leopoldsburg.en-gb.html?label=gen173nr-1DCA0oFUIcYXUtcHJpbmNlLXJveWFsLWxlb3BvbGRzYnVyZ0gzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCi6rXhwbAAgHSAiQwNWU5MzUzNS1iMDE2LTQ1NDYtOTYwNS01NDdmMjE3NDdmNTbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Hotel Au Prince Royal,https://www.booking.com/hotel/be/au-prince-royal-leopoldsburg.en-gb.html?label=gen173nr-1DCA0oFUIcYXUtcHJpbmNlLXJveWFsLWxlb3BvbGRzYnVyZ0gzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCi6rXhwbAAgHSAiQwNWU5MzUzNS1iMDE2LTQ1NDYtOTYwNS01NDdmMjE3NDdmNTbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,United Kingdom,8.3,"Friendly and accommodating staff. Lovely place, perfect for purpose of our stay and plenty of rooms for our group.","<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Friendly and accommodating staff. Lovely place, perfect for purpose of our stay and plenty of rooms for our group.</span></p>",Business trip~Group~Standard Double or Twin Room~Stayed 2 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
311,Exceptional,16-Oct-19,Hanna,,01-00-2022,https://www.booking.com/reviews/be/hotel/sakura.en-gb.html?label=gen173nr-1DCA0oFUIGc2FrdXJhSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJDE0MTc0MTUyLTllZmUtNDc3MC05NjYzLThmN2Y4ODFhMjg3NNgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Liège Center Sakura,https://www.booking.com/hotel/be/sakura.en-gb.html?label=gen173nr-1DCA0oFUIGc2FrdXJhSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJDE0MTc0MTUyLTllZmUtNDc3MC05NjYzLThmN2Y4ODFhMjg3NNgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,Luxembourg,10.0,There are no comments available for this review,"<p class=""review_none""><em>There are no comments available for this review</em></p>",Leisure trip~Couple~Deluxe Double Room with Shower~Stayed 1 night~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
312,Nice hotel for visiting the harbour area,08-Nov-19,Iwan,,16-00-2022,https://www.booking.com/reviews/be/hotel/antwerp-harbour.en-gb.html?label=gen173nr-1DCA0oFUIPYW50d2VycC1oYXJib3VySDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJGE0NGIwMjdjLTVkMzQtNDQwMy1hMjhjLWI1MjljZTMwNjM4ZNgCBOACAQ;sid=6891a59907ed008c879669a398b5df5b;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Antwerp Harbour Hotel,https://www.booking.com/hotel/be/antwerp-harbour.en-gb.html?label=gen173nr-1DCA0oFUIPYW50d2VycC1oYXJib3VySDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJGE0NGIwMjdjLTVkMzQtNDQwMy1hMjhjLWI1MjljZTMwNjM4ZNgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,Netherlands,6.7,"Bathroom could have been cleaner. Room itself was very hot, even though heater was off.Hotel looks somewhat outdated.,

Good bed, friendly staff, ideal location when visiting the Kinepolis venue.","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">Bathroom could have been cleaner. Room itself was very hot, even though heater was off.Hotel looks somewhat outdated.</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Good bed, friendly staff, ideal location when visiting the Kinepolis venue.</span></p>",Business trip~Group~Standard Twin Room~Stayed 2 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
313,Exceptional,03-Jun-19,Frederik,,10-00-2021,https://www.booking.com/reviews/be/hotel/cottage-moere.en-gb.html?label=gen173nr-1DCA0oFUINY290dGFnZS1tb2VyZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC86nXhwbAAgHSAiQ3YjFmMmY4ZC03YzA5LTRmOTUtYTBlOS03ZjEzZTgyNWE4YzbYAgTgAgE;sid=6891a59907ed008c879669a398b5df5b;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Cottage Moere,https://www.booking.com/hotel/be/cottage-moere.en-gb.html?label=gen173nr-1DCA0oFUINY290dGFnZS1tb2VyZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC86nXhwbAAgHSAiQ3YjFmMmY4ZC03YzA5LTRmOTUtYTBlOS03ZjEzZTgyNWE4YzbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,Belgium,10.0,There are no comments available for this review,"<p class=""review_none""><em>There are no comments available for this review</em></p>",Leisure trip~Group~Holiday Home~Stayed 1 night,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
314,Exceptional,11-Feb-19,Ruochen,,09-00-2023,https://www.booking.com/reviews/be/hotel/le-gite-du-prieure.en-gb.html?label=gen173nr-1DCA0oFUISbGUtZ2l0ZS1kdS1wcmlldXJlSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAL0qdeHBsACAdICJGFjMWM2MjAyLWM1NDItNGJjOC05MTMwLTAzZGMzMDhhOGQzOdgCBOACAQ;sid=6891a59907ed008c879669a398b5df5b;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Le Gîte Du Prieuré,https://www.booking.com/hotel/be/le-gite-du-prieure.en-gb.html?label=gen173nr-1DCA0oFUISbGUtZ2l0ZS1kdS1wcmlldXJlSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAL0qdeHBsACAdICJGFjMWM2MjAyLWM1NDItNGJjOC05MTMwLTAzZGMzMDhhOGQzOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,Luxembourg,10.0,"The hotel is in an old house. It is amazingly beautiful and comfortable. The kitchen is well equipped. We are feeling at home. The owner even prepared a bottle of wine as a gift, which is excellent! I am sure I will come back with my family, with my friends!","<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">The hotel is in an old house. It is amazingly beautiful and comfortable. The kitchen is well equipped. We are feeling at home. The owner even prepared a bottle of wine as a gift, which is excellent! I am sure I will come back with my family, with my friends!</span></p>",Leisure trip~Family with young children~One-Bedroom House~Stayed 1 night,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
315,The View Bis is a relaxing comfortable B&B with excellent hosts.,18-Feb-19,Vivienne,,14-00-2023,https://www.booking.com/reviews/be/hotel/the-view-bis.en-gb.html?label=gen173nr-1DCA0oFUIMdGhlLXZpZXctYmlzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKLqteHBsACAdICJDJkMDAyZTBkLWQ3MDctNDk1OC1iYjhiLWMwODM0OTZiMjEwYdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,B&B The View Bis,https://www.booking.com/hotel/be/the-view-bis.en-gb.html?label=gen173nr-1DCA0oFUIMdGhlLXZpZXctYmlzSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuAKLqteHBsACAdICJDJkMDAyZTBkLWQ3MDctNDk1OC1iYjhiLWMwODM0OTZiMjEwYdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,United Kingdom,9.6,"There was nothing we didn't like. A microwave in the kitchen would have been useful for us, but the hosts were happy to heat anything up we needed.,

Nadine and Claude were so helpful and welcoming hosts. Quiet location and comfortable beds made for a good night's sleep. The breakfast was an excellent mix of fresh fruit, yogurt, rolls and a platter of cold meats and cheeses.","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">There was nothing we didn't like. A microwave in the kitchen would have been useful for us, but the hosts were happy to heat anything up we needed.</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Nadine and Claude were so helpful and welcoming hosts. Quiet location and comfortable beds made for a good night's sleep. The breakfast was an excellent mix of fresh fruit, yogurt, rolls and a platter of cold meats and cheeses.</span></p>",Business trip~Couple~King Room with Garden View~Stayed 7 nights,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
316,Superb,10-Jul-19,Jean-paul,,06-00-2022,https://www.booking.com/reviews/be/hotel/pegasus-apparthotel-brussels-city.en-gb.html?label=gen173nr-1DCA0oFUIhcGVnYXN1cy1hcHBhcnRob3RlbC1icnVzc2Vscy1jaXR5SDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJDhlOWUxZjk1LWQ5YWItNDE1OC05Yjg4LTZhNDk3MGI4YzgwOdgCBOACAQ;sid=112feb5c809e55c93c7a10cb30d87aae;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Pegasus Studioflats Brussels City Aparthotel,https://www.booking.com/hotel/be/pegasus-apparthotel-brussels-city.en-gb.html?label=gen173nr-1DCA0oFUIhcGVnYXN1cy1hcHBhcnRob3RlbC1icnVzc2Vscy1jaXR5SDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJDhlOWUxZjk1LWQ5YWItNDE1OC05Yjg4LTZhNDk3MGI4YzgwOdgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,Belgium,9.2,There are no comments available for this review,"<p class=""review_none""><em>There are no comments available for this review</em></p>",Solo traveller~Standard Studio~Stayed 16 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
317,The hotel location is excellent. Disapointed that we could not have the accommodation we had booked,25-Aug-19,John,,01-00-2021,https://www.booking.com/reviews/be/hotel/au-prince-royal-leopoldsburg.en-gb.html?label=gen173nr-1DCA0oFUIcYXUtcHJpbmNlLXJveWFsLWxlb3BvbGRzYnVyZ0gzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCi6rXhwbAAgHSAiQwNWU5MzUzNS1iMDE2LTQ1NDYtOTYwNS01NDdmMjE3NDdmNTbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Hotel Au Prince Royal,https://www.booking.com/hotel/be/au-prince-royal-leopoldsburg.en-gb.html?label=gen173nr-1DCA0oFUIcYXUtcHJpbmNlLXJveWFsLWxlb3BvbGRzYnVyZ0gzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gCi6rXhwbAAgHSAiQwNWU5MzUzNS1iMDE2LTQ1NDYtOTYwNS01NDdmMjE3NDdmNTbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,New Zealand,7.5,"There was four of us and we had booked a three bedroom apartment but was told this was not available on arrival. We were given two double rooms which impacted on our stay as we had to share rooms. The hotel blamed booking.com but we doubt this was correct. If the hotel can not provide the accommodation booked they should not be listing on booking.com. We did not feel over welcomed. The reception area is the same area as the restaurant counter area which is strange.,

Continental breakfast was very good Rooms clean and tidy. Location was excellent for what we wanted. Most of the staff were excellent. Restaurant was very popular","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">There was four of us and we had booked a three bedroom apartment but was told this was not available on arrival. We were given two double rooms which impacted on our stay as we had to share rooms. The hotel blamed booking.com but we doubt this was correct. If the hotel can not provide the accommodation booked they should not be listing on booking.com. We did not feel over welcomed. The reception area is the same area as the restaurant counter area which is strange.</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Continental breakfast was very good Rooms clean and tidy. Location was excellent for what we wanted. Most of the staff were excellent. Restaurant was very popular</span></p>",Leisure trip~Family with young children~Three-Bedroom Apartment~Stayed 2 nights,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
318,Okay,24-Oct-18,Katrin,,26-00-2024,https://www.booking.com/reviews/be/hotel/sakura.en-gb.html?label=gen173nr-1DCA0oFUIGc2FrdXJhSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJDE0MTc0MTUyLTllZmUtNDc3MC05NjYzLThmN2Y4ODFhMjg3NNgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Liège Center Sakura,https://www.booking.com/hotel/be/sakura.en-gb.html?label=gen173nr-1DCA0oFUIGc2FrdXJhSDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJDE0MTc0MTUyLTllZmUtNDc3MC05NjYzLThmN2Y4ODFhMjg3NNgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,Germany,5.8,There are no comments available for this review,"<p class=""review_none""><em>There are no comments available for this review</em></p>",Leisure trip~Couple~Deluxe Double Room with Shower~Stayed 1 night~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
319,Good as usual,14-Oct-19,Jasper,,01-00-2023,https://www.booking.com/reviews/be/hotel/antwerp-harbour.en-gb.html?label=gen173nr-1DCA0oFUIPYW50d2VycC1oYXJib3VySDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJGE0NGIwMjdjLTVkMzQtNDQwMy1hMjhjLWI1MjljZTMwNjM4ZNgCBOACAQ;sid=6891a59907ed008c879669a398b5df5b;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Antwerp Harbour Hotel,https://www.booking.com/hotel/be/antwerp-harbour.en-gb.html?label=gen173nr-1DCA0oFUIPYW50d2VycC1oYXJib3VySDNYBGhsiAEBmAEJuAEHyAEN2AED6AEBiAIBqAIDuALzqdeHBsACAdICJGE0NGIwMjdjLTVkMzQtNDQwMy1hMjhjLWI1MjljZTMwNjM4ZNgCBOACAQ;sid=cb78d8489b9c18246aa9830225a71862,Netherlands,7.9,"Hotel is too warm, also in the room difficult to get temperature down.Second morning there was no hot water (first time this happened in 5 stays).,

Good location, good breakfast, very nice lobby with free coffee/tea/water","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">Hotel is too warm, also in the room difficult to get temperature down.Second morning there was no hot water (first time this happened in 5 stays).</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Good location, good breakfast, very nice lobby with free coffee/tea/water</span></p>",Business trip~Couple~Standard Twin Room~Stayed 2 nights,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
320,"Great, spacious, quirky cottage close to Brugges. Lovely garden and friendly hosts!",18-Oct-18,Sonja,https://cf.bstatic.com/xdata/images/xphoto/square60_ao/51817256.jpg?k=e8be2d64274bb597c1c192b2946e277d337c2c9ced2604366afcab9180c1e94a&o=~https://cf.bstatic.com/xdata/images/xphoto/square60_ao/51817263.jpg?k=2ae6af513dcf628d90b99c138ab0ab3604cd8764623f61bd6faddecdd75b6161&o=~https://cf.bstatic.com/xdata/images/xphoto/square60_ao/51817268.jpg?k=91e1a16e24b80c4bec0f00f23e24aef6ae2e49a7bf98af11ce8c34f2919fecfc&o=,26-00-2023,https://www.booking.com/reviews/be/hotel/cottage-moere.en-gb.html?label=gen173nr-1DCA0oFUINY290dGFnZS1tb2VyZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC86nXhwbAAgHSAiQ3YjFmMmY4ZC03YzA5LTRmOTUtYTBlOS03ZjEzZTgyNWE4YzbYAgTgAgE;sid=6891a59907ed008c879669a398b5df5b;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Cottage Moere,https://www.booking.com/hotel/be/cottage-moere.en-gb.html?label=gen173nr-1DCA0oFUINY290dGFnZS1tb2VyZUgzWARobIgBAZgBCbgBB8gBDdgBA-gBAYgCAagCA7gC86nXhwbAAgHSAiQ3YjFmMmY4ZC03YzA5LTRmOTUtYTBlOS03ZjEzZTgyNWE4YzbYAgTgAgE;sid=cb78d8489b9c18246aa9830225a71862,United Kingdom,10.0,There are no comments available for this review,"<p class=""review_none""><em>There are no comments available for this review</em></p>",Leisure trip~Family with young children~Holiday Home~Stayed 2 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
